,zipcode,state,target_clean,total_schools,has_preschool,has_elementary_school,has_middle_school,has_highschool,best_preschool_rating,best_elementary_school_rating,best_middle_school_rating,best_highschool_rating,preschool_distance,elementary_school_distance,middle_school_distance,highschool_distance,pool,sqft_clean,beds_clean,baths_int,has_half_bath,stories_int,is_split_level,fireplaces,has_firepit,heating_forced_air,heating_gas,heating_electric,heating_heat_pump,heating_oil,heating_baseboard,heating_radiant,heating_hot_water_steam,heating_central,heating_other,no_heating,cooling_central,cooling_heat_pump,cooling_evaporative,cooling_window_wall,cooling_fans,cooling_zoned,cooling_other,cooling_no,parking_garage,parking_carport,parking_driveway,parking_off_street,parking_other,parking_spaces,was_remodeled,city_clean,is_foreclosure,type_lot_land,type_single_family,type_condo,type_traditional,type_townhouse,type_multi_family,type_coop,type_mobile_manufactured,type_apartment,type_penthouse,type_farm_ranch,type_other,lotsize_clean,type_sum,house_age,is_new_construction,is_historical,best_preschool_rating_missing,best_elementary_school_rating_missing,best_middle_school_rating_missing,best_highschool_rating_missing
2032,10005,NY,2699000.0,7,0,1,1,1,0.0,10.0,10.0,8.0,100.0,0.47,0.47,2.48,0,2729.0,3.0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new york,0,0,0,1,0,0,0,0,0,0,0,0,0,2729.0,1,124.0,0,1,0,0,0,0
2033,11423,NY,450000.0,4,1,1,1,0,4.0,4.0,6.0,0.0,0.28,0.28,0.64,100.0,0,2240.0,4.0,2.0,0,2.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,jamaica,1,0,0,0,0,0,1,0,0,0,0,0,0,3300.0,1,106.0,0,1,0,0,0,0
2034,27607,NC,1025000.0,3,1,1,1,1,4.0,6.0,7.0,6.0,0.23,1.14,1.38,1.14,0,4279.0,5.0,5.0,0,1.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,raleigh,0,0,1,0,0,0,0,0,0,0,0,0,0,10890.0,1,86.0,0,0,0,0,0,0
2035,20001,DC,799900.0,2,1,1,1,1,4.0,4.0,4.0,3.0,0.3,0.3,0.3,0.3,0,1800.0,2.0,3.0,0,2.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,washington,0,0,0,0,0,1,0,0,0,0,0,0,0,1520.0,1,126.0,0,1,0,0,0,0
2036,10019,NY,750000.0,7,1,1,1,1,10.0,10.0,9.0,8.0,0.29,0.29,2.11,2.11,0,1800.0,3.0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,new york,0,0,0,0,0,0,0,1,0,0,0,0,0,25265.0,1,64.0,0,0,0,0,0,0
2037,33647,FL,570000.0,3,1,1,1,1,3.0,4.0,7.0,4.0,1.9,3.7,1.5,3.7,0,2890.0,,,0,2.0,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,tampa,0,0,0,0,0,0,0,0,0,0,0,0,1,9519.0,1,21.0,0,0,0,0,0,0
2038,76711,TX,79900.0,3,1,1,1,1,4.0,4.0,3.0,3.0,0.58,0.58,2.26,1.65,0,1756.0,3.0,2.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,waco,0,0,1,0,0,0,0,0,0,0,0,0,0,12197.0,1,85.0,0,0,0,0,0,0
2039,28277,NC,399900.0,3,1,1,1,1,7.0,9.0,10.0,9.0,1.75,3.29,1.13,3.29,0,2776.0,4.0,3.0,0,2.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,charlotte,0,0,1,0,0,0,0,0,0,0,0,0,0,19602.0,1,43.0,0,0,0,0,0,0
2040,33714,FL,42000.0,1,1,1,0,1,5.0,5.0,0.0,5.0,0.4,0.4,100.0,0.4,1,585.0,1.0,1.0,0,2.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,saint petersburg,0,0,0,1,0,0,0,0,0,0,0,0,0,435.0,1,61.0,0,0,0,0,0,0
2041,32828,FL,144900.0,4,1,1,1,1,7.0,7.0,7.0,7.0,0.86,0.86,14.25,13.4,0,1343.0,3.0,2.0,0,,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,orlando,0,0,0,0,0,0,0,0,1,0,0,0,0,17860.0,1,9.0,1,0,0,0,0,0
